Datum von;Datum bis;Netzlast [MWh] Originalauflösungen;Netzlast inkl. Pumpspeicher [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen
01.11.2025 00:00;01.11.2025 00:15;11.015,00;11.132,64;117,64;4.807,75
01.11.2025 00:15;01.11.2025 00:30;10.937,50;11.109,60;172,10;4.690,47
01.11.2025 00:30;01.11.2025 00:45;10.805,75;10.989,48;183,73;4.668,61
01.11.2025 00:45;01.11.2025 01:00;10.785,75;10.990,14;204,39;4.693,62
01.11.2025 01:00;01.11.2025 01:15;10.588,75;10.776,49;187,74;4.559,72
01.11.2025 01:15;01.11.2025 01:30;10.571,00;10.790,01;219,01;4.536,02
01.11.2025 01:30;01.11.2025 01:45;10.449,50;10.667,51;218,01;4.380,33
01.11.2025 01:45;01.11.2025 02:00;10.434,75;10.633,38;198,63;4.446,55
01.11.2025 02:00;01.11.2025 02:15;10.418,75;10.736,95;318,20;4.517,26
01.11.2025 02:15;01.11.2025 02:30;10.343,50;10.744,83;401,33;4.563,55
01.11.2025 02:30;01.11.2025 02:45;10.314,50;10.697,53;383,03;4.583,08
01.11.2025 02:45;01.11.2025 03:00;10.264,25;10.645,05;380,80;4.561,10
01.11.2025 03:00;01.11.2025 03:15;10.121,00;10.445,54;324,54;4.482,13
01.11.2025 03:15;01.11.2025 03:30;10.174,25;10.551,06;376,81;4.485,38
01.11.2025 03:30;01.11.2025 03:45;10.209,25;10.524,93;315,68;4.482,89
01.11.2025 03:45;01.11.2025 04:00;10.236,50;10.534,91;298,41;4.457,95
01.11.2025 04:00;01.11.2025 04:15;10.288,25;10.609,09;320,84;4.417,38
01.11.2025 04:15;01.11.2025 04:30;9.669,75;10.124,79;455,04;3.760,60
01.11.2025 04:30;01.11.2025 04:45;9.867,25;10.326,75;459,50;3.883,67
01.11.2025 04:45;01.11.2025 05:00;9.901,75;10.372,21;470,46;3.823,31
01.11.2025 05:00;01.11.2025 05:15;9.968,75;10.353,21;384,46;3.833,83
01.11.2025 05:15;01.11.2025 05:30;9.847,50;10.360,23;512,73;3.665,30
01.11.2025 05:30;01.11.2025 05:45;9.984,75;10.470,03;485,28;3.726,92
01.11.2025 05:45;01.11.2025 06:00;10.478,00;11.022,89;544,89;4.135,65
01.11.2025 06:00;01.11.2025 06:15;10.585,75;11.211,65;625,90;3.887,33
01.11.2025 06:15;01.11.2025 06:30;10.630,50;11.248,32;617,82;3.808,79
01.11.2025 06:30;01.11.2025 06:45;10.795,25;11.290,05;494,80;3.862,58
01.11.2025 06:45;01.11.2025 07:00;10.900,00;11.296,43;396,43;3.944,33
01.11.2025 07:00;01.11.2025 07:15;10.936,75;11.320,99;384,24;3.901,16
01.11.2025 07:15;01.11.2025 07:30;11.126,75;11.599,21;472,46;3.863,25
01.11.2025 07:30;01.11.2025 07:45;11.435,50;12.030,64;595,14;3.750,05
01.11.2025 07:45;01.11.2025 08:00;11.619,75;12.373,86;754,11;3.524,82
01.11.2025 08:00;01.11.2025 08:15;11.779,75;12.608,30;828,55;3.153,73
01.11.2025 08:15;01.11.2025 08:30;12.028,25;12.920,04;891,79;2.947,62
01.11.2025 08:30;01.11.2025 08:45;12.309,50;13.239,89;930,39;2.792,80
01.11.2025 08:45;01.11.2025 09:00;12.544,50;13.565,44;1.020,94;2.646,69
01.11.2025 09:00;01.11.2025 09:15;12.721,50;13.877,53;1.156,03;2.229,91
01.11.2025 09:15;01.11.2025 09:30;12.837,75;14.034,14;1.196,39;1.922,69
01.11.2025 09:30;01.11.2025 09:45;12.979,50;14.183,36;1.203,86;1.889,88
01.11.2025 09:45;01.11.2025 10:00;13.054,25;14.221,40;1.167,15;1.836,92
01.11.2025 10:00;01.11.2025 10:15;13.000,00;14.036,48;1.036,48;1.686,24
01.11.2025 10:15;01.11.2025 10:30;12.915,00;13.852,77;937,77;1.556,16
01.11.2025 10:30;01.11.2025 10:45;12.953,25;13.644,52;691,27;1.606,70
01.11.2025 10:45;01.11.2025 11:00;13.033,00;13.666,20;633,20;1.718,94
01.11.2025 11:00;01.11.2025 11:15;13.366,50;14.593,24;1.226,74;2.087,04
01.11.2025 11:15;01.11.2025 11:30;13.455,25;14.720,41;1.265,16;2.156,34
01.11.2025 11:30;01.11.2025 11:45;13.580,25;14.841,91;1.261,66;2.291,17
01.11.2025 11:45;01.11.2025 12:00;13.552,50;14.805,48;1.252,98;2.255,90
01.11.2025 12:00;01.11.2025 12:15;13.525,50;14.812,21;1.286,71;2.351,31
01.11.2025 12:15;01.11.2025 12:30;13.605,50;14.838,38;1.232,88;2.654,89
01.11.2025 12:30;01.11.2025 12:45;13.566,75;14.801,65;1.234,90;2.913,81
01.11.2025 12:45;01.11.2025 13:00;13.477,75;14.684,73;1.206,98;3.181,32
01.11.2025 13:00;01.11.2025 13:15;13.206,25;14.111,24;904,99;3.295,76
01.11.2025 13:15;01.11.2025 13:30;13.098,50;14.005,51;907,01;3.495,21
01.11.2025 13:30;01.11.2025 13:45;12.994,00;13.756,38;762,38;3.729,32
01.11.2025 13:45;01.11.2025 14:00;12.969,25;13.469,36;500,11;3.946,36
01.11.2025 14:00;01.11.2025 14:15;12.967,50;13.408,83;441,33;4.103,71
01.11.2025 14:15;01.11.2025 14:30;12.841,50;13.181,16;339,66;4.133,21
01.11.2025 14:30;01.11.2025 14:45;12.873,75;13.089,32;215,57;4.272,43
01.11.2025 14:45;01.11.2025 15:00;13.051,75;13.247,23;195,48;4.558,28
01.11.2025 15:00;01.11.2025 15:15;13.189,00;13.243,61;54,61;4.931,32
01.11.2025 15:15;01.11.2025 15:30;13.202,25;13.235,98;33,73;5.032,57
01.11.2025 15:30;01.11.2025 15:45;13.172,25;13.187,40;15,15;4.999,77
01.11.2025 15:45;01.11.2025 16:00;13.300,00;13.315,14;15,14;5.211,88
01.11.2025 16:00;01.11.2025 16:15;13.422,50;13.437,42;14,92;5.402,59
01.11.2025 16:15;01.11.2025 16:30;13.283,75;13.361,97;78,22;5.402,95
01.11.2025 16:30;01.11.2025 16:45;13.354,00;13.406,20;52,20;5.721,63
01.11.2025 16:45;01.11.2025 17:00;13.371,25;13.384,59;13,34;5.865,75
01.11.2025 17:00;01.11.2025 17:15;13.399,00;13.411,21;12,21;6.013,06
01.11.2025 17:15;01.11.2025 17:30;13.674,25;13.684,65;10,40;6.378,59
01.11.2025 17:30;01.11.2025 17:45;13.746,50;13.756,28;9,78;6.501,81
01.11.2025 17:45;01.11.2025 18:00;13.781,50;13.791,25;9,75;6.566,64
01.11.2025 18:00;01.11.2025 18:15;13.783,50;13.793,25;9,75;6.460,00
01.11.2025 18:15;01.11.2025 18:30;13.840,00;13.850,49;10,49;6.462,42
01.11.2025 18:30;01.11.2025 18:45;13.753,25;13.764,93;11,68;6.390,41
01.11.2025 18:45;01.11.2025 19:00;13.676,00;13.687,70;11,70;6.139,74
01.11.2025 19:00;01.11.2025 19:15;13.550,75;13.563,44;12,69;6.321,43
01.11.2025 19:15;01.11.2025 19:30;13.363,50;13.374,43;10,93;6.115,17
01.11.2025 19:30;01.11.2025 19:45;13.294,50;13.336,47;41,97;6.000,21
01.11.2025 19:45;01.11.2025 20:00;13.171,75;13.227,13;55,38;5.863,15
01.11.2025 20:00;01.11.2025 20:15;12.892,50;12.931,19;38,69;5.660,36
01.11.2025 20:15;01.11.2025 20:30;12.670,25;12.699,35;29,10;5.536,88
01.11.2025 20:30;01.11.2025 20:45;12.510,50;12.538,69;28,19;5.434,00
01.11.2025 20:45;01.11.2025 21:00;12.384,50;12.502,19;117,69;5.459,63
01.11.2025 21:00;01.11.2025 21:15;12.302,00;12.416,97;114,97;5.474,41
01.11.2025 21:15;01.11.2025 21:30;12.175,50;12.261,51;86,01;5.536,14
01.11.2025 21:30;01.11.2025 21:45;12.038,00;12.143,40;105,40;5.574,96
01.11.2025 21:45;01.11.2025 22:00;11.993,50;12.082,39;88,89;5.732,75
01.11.2025 22:00;01.11.2025 22:15;11.831,00;11.852,69;21,69;5.984,18
01.11.2025 22:15;01.11.2025 22:30;11.743,50;11.827,96;84,46;6.019,99
01.11.2025 22:30;01.11.2025 22:45;11.498,00;11.552,22;54,22;5.823,60
01.11.2025 22:45;01.11.2025 23:00;11.252,75;11.292,74;39,99;5.659,46
01.11.2025 23:00;01.11.2025 23:15;10.962,75;11.073,88;111,13;5.195,96
01.11.2025 23:15;01.11.2025 23:30;10.775,00;10.885,51;110,51;5.000,89
01.11.2025 23:30;01.11.2025 23:45;10.590,25;10.715,32;125,07;4.923,55
01.11.2025 23:45;02.11.2025 00:00;10.489,00;10.678,00;189,00;4.877,36
02.11.2025 00:00;02.11.2025 00:15;10.400,75;10.602,14;201,39;4.992,98
02.11.2025 00:15;02.11.2025 00:30;10.206,25;10.497,20;290,95;4.846,55
02.11.2025 00:30;02.11.2025 00:45;10.117,00;10.443,29;326,29;4.818,20
02.11.2025 00:45;02.11.2025 01:00;10.029,25;10.477,23;447,98;4.710,10
02.11.2025 01:00;02.11.2025 01:15;9.946,25;10.394,84;448,59;4.675,53
02.11.2025 01:15;02.11.2025 01:30;9.867,25;10.416,25;549,00;4.680,25
02.11.2025 01:30;02.11.2025 01:45;9.737,75;10.352,53;614,78;4.593,26
02.11.2025 01:45;02.11.2025 02:00;9.724,50;10.428,78;704,28;4.537,28
02.11.2025 02:00;02.11.2025 02:15;9.715,00;10.371,12;656,12;4.565,21
02.11.2025 02:15;02.11.2025 02:30;9.660,00;10.316,45;656,45;4.494,00
02.11.2025 02:30;02.11.2025 02:45;9.572,00;10.407,28;835,28;4.330,76
02.11.2025 02:45;02.11.2025 03:00;9.585,00;10.384,84;799,84;4.274,68
02.11.2025 03:00;02.11.2025 03:15;9.639,50;10.387,38;747,88;4.464,75
02.11.2025 03:15;02.11.2025 03:30;9.613,50;10.386,08;772,58;4.517,32
02.11.2025 03:30;02.11.2025 03:45;9.539,50;10.298,10;758,60;4.490,20
02.11.2025 03:45;02.11.2025 04:00;9.600,00;10.272,51;672,51;4.568,52
02.11.2025 04:00;02.11.2025 04:15;9.630,50;10.255,41;624,91;4.634,10
02.11.2025 04:15;02.11.2025 04:30;9.605,50;10.088,68;483,18;4.676,27
02.11.2025 04:30;02.11.2025 04:45;9.702,50;10.115,59;413,09;4.814,62
02.11.2025 04:45;02.11.2025 05:00;9.697,50;10.121,35;423,85;4.872,30
02.11.2025 05:00;02.11.2025 05:15;9.774,50;10.160,79;386,29;5.081,24
02.11.2025 05:15;02.11.2025 05:30;9.749,00;10.076,29;327,29;5.074,36
02.11.2025 05:30;02.11.2025 05:45;9.791,50;9.962,15;170,65;5.108,73
02.11.2025 05:45;02.11.2025 06:00;9.882,25;10.048,52;166,27;5.176,35
02.11.2025 06:00;02.11.2025 06:15;10.115,75;10.427,26;311,51;5.272,15
02.11.2025 06:15;02.11.2025 06:30;10.052,50;10.300,02;247,52;5.253,64
02.11.2025 06:30;02.11.2025 06:45;10.052,50;10.130,30;77,80;5.365,36
02.11.2025 06:45;02.11.2025 07:00;10.109,50;10.253,17;143,67;5.494,77
02.11.2025 07:00;02.11.2025 07:15;10.270,50;10.379,69;109,19;5.664,85
02.11.2025 07:15;02.11.2025 07:30;10.378,75;10.408,11;29,36;5.809,27
02.11.2025 07:30;02.11.2025 07:45;10.515,25;10.547,72;32,47;5.945,91
02.11.2025 07:45;02.11.2025 08:00;10.725,25;10.761,00;35,75;6.127,74
02.11.2025 08:00;02.11.2025 08:15;10.869,50;10.881,95;12,45;6.257,18
02.11.2025 08:15;02.11.2025 08:30;11.157,25;11.169,58;12,33;6.472,44
02.11.2025 08:30;02.11.2025 08:45;11.477,50;11.521,22;43,72;6.655,70
02.11.2025 08:45;02.11.2025 09:00;11.725,50;11.753,13;27,63;6.816,41
02.11.2025 09:00;02.11.2025 09:15;11.943,25;11.963,57;20,32;6.985,35
02.11.2025 09:15;02.11.2025 09:30;12.083,00;12.092,12;9,12;7.045,77
02.11.2025 09:30;02.11.2025 09:45;12.241,50;12.278,73;37,23;7.117,36
02.11.2025 09:45;02.11.2025 10:00;12.415,25;12.427,04;11,79;7.203,23
