Datum (MEZ),Nicht Erneuerbar,Erneuerbar,Day Ahead Auktion
2025-10-01T00:00+02:00,26976.71709,17971.50234,102.6
2025-10-01T00:15+02:00,27140.61339,17794.73742,92.24
2025-10-01T00:30+02:00,27058.42431,17373.27366,86.03
2025-10-01T00:45+02:00,26966.77922,16886.61629,85.39
2025-10-01T01:00+02:00,26883.46403,16529.12364,89.99
2025-10-01T01:15+02:00,26719.51005,16390.63757,86.03
2025-10-01T01:30+02:00,26732.12486,16339.06167,85.03
2025-10-01T01:45+02:00,26645.04024,16099.32032,84.09
2025-10-01T02:00+02:00,26429.5882,15864.15121,85.41
2025-10-01T02:15+02:00,26469.08586,15581.4913,85
2025-10-01T02:30+02:00,26517.62614,15167.68105,84.54
2025-10-01T02:45+02:00,26413.10778,14805.29239,84.54
2025-10-01T03:00+02:00,26556.81035,14475.70425,87.39
2025-10-01T03:15+02:00,26626.51549,14157.68617,87.36
2025-10-01T03:30+02:00,24174.99797,13937.99975,88.56
2025-10-01T03:45+02:00,24206.99907,13779.47666,89.99
2025-10-01T04:00+02:00,24377.42171,13622.68744,86.31
2025-10-01T04:15+02:00,24569.55896,13466.9366,89.06
2025-10-01T04:30+02:00,24643.72267,13336.76727,86.42
2025-10-01T04:45+02:00,24867.96569,13269.40415,88.83
2025-10-01T05:00+02:00,25509.33395,13230.41185,84.26
2025-10-01T05:15+02:00,28519.81395,13146.72868,90.76
2025-10-01T05:30+02:00,28950.2006,13164.97106,97.55
2025-10-01T05:45+02:00,29247.32194,13245.91725,108.74
2025-10-01T06:00+02:00,29909.38496,13348.37705,97.03
2025-10-01T06:15+02:00,30186.9431,13317.9784,117.49
2025-10-01T06:30+02:00,30249.97709,13347.4131,133.23
2025-10-01T06:45+02:00,30280.82926,13549.8412,152.09
2025-10-01T07:00+02:00,30427.32772,13798.96643,160.95
2025-10-01T07:15+02:00,30427.37641,14200.98849,181.48
2025-10-01T07:30+02:00,30385.74582,15189.26609,180.23
2025-10-01T07:45+02:00,30391.92883,16628.20651,170.54
2025-10-01T08:00+02:00,30267.79197,18157.20482,200.25
2025-10-01T08:15+02:00,30168.99539,20014.718,143.35
2025-10-01T08:30+02:00,29955.98716,22428.50097,117.5
2025-10-01T08:45+02:00,29954.15308,24959.91644,95.25
2025-10-01T09:00+02:00,29520.70553,27040.93623,139.48
2025-10-01T09:15+02:00,28423.43204,29743.92554,105.01
2025-10-01T09:30+02:00,27758.90179,31716.41377,93.66
2025-10-01T09:45+02:00,26900.48766,33754.81992,82.85
2025-10-01T10:00+02:00,25818.94185,35954.36881,103.22
2025-10-01T10:15+02:00,24758.95662,37582.76891,93.06
2025-10-01T10:30+02:00,23867.03658,39723.9015,81.21
2025-10-01T10:45+02:00,23148.36784,41878.78827,66.65
2025-10-01T11:00+02:00,22336.04984,44166.89315,83.5
2025-10-01T11:15+02:00,21591.53708,45178.47188,72.08
2025-10-01T11:30+02:00,20629.37925,46337.30113,65.32
2025-10-01T11:45+02:00,19774.72681,47152.60985,61.37
2025-10-01T12:00+02:00,17964.28177,47539.27257,68.21
2025-10-01T12:15+02:00,17425.72982,47657.44406,65.22
2025-10-01T12:30+02:00,17094.46407,47774.02235,65.45
2025-10-01T12:45+02:00,16930.74328,47484.71883,65.22
2025-10-01T13:00+02:00,16547.98584,47525.27971,65.6
2025-10-01T13:15+02:00,16526.67954,46828.331,67.72
2025-10-01T13:30+02:00,16523.0435,45918.06881,69.44
2025-10-01T13:45+02:00,16561.15737,44781.95398,70.84
2025-10-01T14:00+02:00,17356.344,43801.5855,64.49
2025-10-01T14:15+02:00,17532.87997,42593.93867,70.25
2025-10-01T14:30+02:00,18221.33148,41220.57814,74.63
2025-10-01T14:45+02:00,19298.17118,39780.80967,81.14
2025-10-01T15:00+02:00,20632.20039,38769.95036,65.3
2025-10-01T15:15+02:00,21666.81511,36986.84477,74.63
2025-10-01T15:30+02:00,22647.5364,35258.95637,88.02
2025-10-01T15:45+02:00,23583.61917,33284.84892,98.94
2025-10-01T16:00+02:00,24342.30675,31202.71863,62.15
2025-10-01T16:15+02:00,25372.79553,29300.34526,89.53
2025-10-01T16:30+02:00,26447.04615,27524.28861,103.08
2025-10-01T16:45+02:00,27564.31085,25072.16032,116.72
2025-10-01T17:00+02:00,28510.98515,22791.11613,85.49
2025-10-01T17:15+02:00,28929.6825,20714.96068,115.87
2025-10-01T17:30+02:00,29781.32396,18288.0005,144.98
2025-10-01T17:45+02:00,30696.1815,15993.08689,195.26
2025-10-01T18:00+02:00,31092.17482,14146.35429,146.95
2025-10-01T18:15+02:00,31442.66982,12665.31018,200
2025-10-01T18:30+02:00,31635.3468,12038.71172,285
2025-10-01T18:45+02:00,31711.44208,12220.25903,381
2025-10-01T19:00+02:00,31708.0711,12172.15461,408.5
2025-10-01T19:15+02:00,31773.3572,12628.28064,376.39
2025-10-01T19:30+02:00,31770.60735,13315.55889,321.94
2025-10-01T19:45+02:00,31826.77515,13927.34044,253.14
2025-10-01T20:00+02:00,31963.01609,14555.38282,218.02
2025-10-01T20:15+02:00,31980.95163,15075.13619,155.25
2025-10-01T20:30+02:00,31741.12608,15618.32317,126.82
2025-10-01T20:45+02:00,30815.24092,16200.33906,108
2025-10-01T21:00+02:00,30351.97534,16723.39136,130.68
2025-10-01T21:15+02:00,29795.62388,17219.3806,121.4
2025-10-01T21:30+02:00,29538.51118,17533.42925,102.98
2025-10-01T21:45+02:00,28903.80027,18003.63984,97.08
2025-10-01T22:00+02:00,28282.80871,18356.32475,108.84
2025-10-01T22:15+02:00,27944.60653,18857.05547,101.51
2025-10-01T22:30+02:00,27173.19897,18942.41107,95.36
2025-10-01T22:45+02:00,26618.04498,19497.17811,88.33
2025-10-01T23:00+02:00,25816.82842,19658.48654,94.57
2025-10-01T23:15+02:00,25384.97237,19515.14442,91.55
2025-10-01T23:30+02:00,25156.35604,19505.1399,91.11
2025-10-01T23:45+02:00,24795.40514,19416.3094,85.36
2025-10-02T00:00+02:00,24524.86463,19348.99868,99.58
2025-10-02T00:15+02:00,23958.88381,19102.66446,91.1
