Datum (MEZ),Nicht Erneuerbar,Erneuerbar,Day Ahead Auktion
2025-11-01T00:00+01:00,10393.68309,31533.25095,63.5
2025-11-01T00:15+01:00,10168.96578,31700.09675,53.67
2025-11-01T00:30+01:00,10171.74189,31240.41741,52.37
2025-11-01T00:45+01:00,10097.76366,31064.37207,49.29
2025-11-01T01:00+01:00,9785.183986,30785.97746,52.32
2025-11-01T01:15+01:00,9644.433874,30794.5413,44.57
2025-11-01T01:30+01:00,9567.089701,30927.36083,32.23
2025-11-01T01:45+01:00,9379.531426,30622.23147,23.34
2025-11-01T02:00+01:00,9310.029705,30255.62483,29.31
2025-11-01T02:15+01:00,9418.575853,29748.40169,24.13
2025-11-01T02:30+01:00,9395.76506,29552.65839,33.96
2025-11-01T02:45+01:00,9398.241621,29441.69497,25.69
2025-11-01T03:00+01:00,9604.66442,29192.71581,50.25
2025-11-01T03:15+01:00,9845.231751,29404.7613,31.33
2025-11-01T03:30+01:00,9852.484028,29591.81649,20.09
2025-11-01T03:45+01:00,9785.924619,29754.36497,18.16
2025-11-01T04:00+01:00,9618.573917,30177.59742,21.17
2025-11-01T04:15+01:00,8576.489455,30328.6316,22.48
2025-11-01T04:30+01:00,8567.66097,30634.67942,20.44
2025-11-01T04:45+01:00,8631.398135,31011.97422,15.52
2025-11-01T05:00+01:00,8969.281168,31310.10055,15.61
2025-11-01T05:15+01:00,8995.107131,31488.55579,24.04
2025-11-01T05:30+01:00,8948.962863,31807.95931,11.41
2025-11-01T05:45+01:00,9585.135533,32206.14325,10.25
2025-11-01T06:00+01:00,8882.774993,33707.94826,14.96
2025-11-01T06:15+01:00,8704.980555,34177.16993,11.44
2025-11-01T06:30+01:00,8614.014669,34678.91521,11.17
2025-11-01T06:45+01:00,8423.690766,34810.08538,8.94
2025-11-01T07:00+01:00,8191.012963,35337.85942,21.14
2025-11-01T07:15+01:00,8082.950961,36299.1932,16.17
2025-11-01T07:30+01:00,7991.23642,37890.24796,13.01
2025-11-01T07:45+01:00,7926.921823,39552.87924,20.1
2025-11-01T08:00+01:00,7680.282851,41672.34481,45.58
2025-11-01T08:15+01:00,7666.865811,43483.24808,37.76
2025-11-01T08:30+01:00,7676.930134,45178.71969,22.06
2025-11-01T08:45+01:00,7685.887359,46679.62398,14.4
2025-11-01T09:00+01:00,7522.741832,48949.56356,45.74
2025-11-01T09:15+01:00,7502.392744,50627.49733,30.08
2025-11-01T09:30+01:00,7468.436627,51348.11138,19.44
2025-11-01T09:45+01:00,7461.872329,51890.24467,12.92
2025-11-01T10:00+01:00,7439.967469,52189.06888,23.72
2025-11-01T10:15+01:00,7382.2613,52330.34254,18.08
2025-11-01T10:30+01:00,7400.770212,52278.3088,16.4
2025-11-01T10:45+01:00,7394.259701,52094.09132,15
2025-11-01T11:00+01:00,7314.12703,51924.29936,15
2025-11-01T11:15+01:00,7296.405878,51988.27336,15.06
2025-11-01T11:30+01:00,7298.450785,51946.70599,15
2025-11-01T11:45+01:00,7331.365578,51995.77636,17.97
2025-11-01T12:00+01:00,7321.837445,51395.32923,14.85
2025-11-01T12:15+01:00,7404.954411,50581.80092,18
2025-11-01T12:30+01:00,7487.610261,49465.56699,24.78
2025-11-01T12:45+01:00,7538.630645,48033.13558,26.43
2025-11-01T13:00+01:00,7919.772597,46477.79742,20.25
2025-11-01T13:15+01:00,8039.985599,45268.19945,25.51
2025-11-01T13:30+01:00,8148.557611,43896.70048,39.36
2025-11-01T13:45+01:00,8574.658998,42838.56736,41.84
2025-11-01T14:00+01:00,9439.858513,42243.60492,43.47
2025-11-01T14:15+01:00,9890.935679,41591.84729,56.26
2025-11-01T14:30+01:00,10355.41086,41226.33941,57.32
2025-11-01T14:45+01:00,10571.5644,40884.03426,58.96
2025-11-01T15:00+01:00,10781.5017,39890.44985,47.19
2025-11-01T15:15+01:00,10902.83564,39571.9681,57.23
2025-11-01T15:30+01:00,11049.56479,39595.91381,63.51
2025-11-01T15:45+01:00,11348.70634,39401.24759,68.36
2025-11-01T16:00+01:00,11739.19123,39124.84582,59.8
2025-11-01T16:15+01:00,12032.12398,38661.46329,74.87
2025-11-01T16:30+01:00,12181.02444,37727.73896,84.76
2025-11-01T16:45+01:00,12342.55685,37269.82486,86.91
2025-11-01T17:00+01:00,12397.34184,36948.05681,86.94
2025-11-01T17:15+01:00,12544.84708,36637.18317,89.24
2025-11-01T17:30+01:00,12680.62086,36422.94358,89.72
2025-11-01T17:45+01:00,12871.52203,36290.17216,89.26
2025-11-01T18:00+01:00,13035.72832,36710.43133,87.21
2025-11-01T18:15+01:00,13307.50316,36980.03718,91
2025-11-01T18:30+01:00,13339.75037,36914.29566,91.92
2025-11-01T18:45+01:00,13421.17948,37502.44394,86.09
2025-11-01T19:00+01:00,13365.94027,36373.50016,85.29
2025-11-01T19:15+01:00,13339.6377,36349.34298,88.22
2025-11-01T19:30+01:00,13248.19257,36518.21911,86.06
2025-11-01T19:45+01:00,13119.5317,36608.95137,86.03
2025-11-01T20:00+01:00,12406.34192,36233.31259,90.11
2025-11-01T20:15+01:00,12305.25656,35809.87906,91
2025-11-01T20:30+01:00,12117.01083,35569.90892,86.93
2025-11-01T20:45+01:00,12096.93481,34940.89042,76.75
2025-11-01T21:00+01:00,11848.9633,34480.03699,86.94
